道路编号,设备编号,设备名称,部门编码,部门名称,坐标,启用时间,x坐标,y坐标
6.00032E+11,4.20503E+19,伍家-东山大道王家河路口东向西,4.20503E+11,宜昌支队伍家大队,"111.34212,30.65373",2015/7/31,111.34212,30.65373
6.00032E+11,4.20503E+19,伍家-东山大道王家河路口西向东,4.20503E+11,宜昌支队伍家大队,"111.34212,30.65373",2015/7/31,111.34212,30.65373
6.00032E+11,4.20503E+19,伍家-东山大道伍家岗站西向东,4.20503E+11,宜昌支队伍家大队,"111.35518,30.64588",2015/8/17,111.35518,30.64588
6.00082E+11,4.20503E+19,伍家-桔城路五一广场站南向北,4.20503E+11,宜昌支队伍家大队,"111.3609,30.6482",2015/8/17,111.3609,30.6482
6.00082E+11,4.20503E+19,伍家-桔城路桔城路站南向北,4.20503E+11,宜昌支队伍家大队,"111.36415,30.653",2015/8/17,111.36415,30.653
6.00082E+11,4.20503E+19,伍家-桔城路桔城路站北向南,4.20503E+11,宜昌支队伍家大队,"111.36415,30.653",2015/8/17,111.36415,30.653
6.00032E+11,4.20503E+19,伍家-东山大道东艳路口北向南,4.20503E+11,宜昌支队伍家大队,"111.34871,30.64763",2015/7/27,111.34871,30.64763
6.00022E+11,4.20503E+19,伍家-夷陵大道白沙路口北向南,4.20503E+11,宜昌支队伍家大队,"111.35642,30.64427",2018/12/1,111.35642,30.64427
6.00022E+11,4.20503E+19,伍家-夷陵大道王家河路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3414,30.65315",2018/12/1,111.3414,30.65315
6.00032E+11,4.20503E+19,伍家-东山大道桔城路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3592,30.6449",2015/7/27,111.3592,30.6449
6.00032E+11,4.20503E+19,伍家-东山大道白沙路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3568,30.6454",2015/7/27,111.3568,30.6454
6.00132E+11,4.20503E+19,伍家-伍临路沈家店路口西向东,4.20503E+11,宜昌支队伍家大队,"111.3621,30.6379",2018/10/15,111.3621,30.6379
6.00132E+11,4.20503E+19,伍家-伍临路沈家店路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3621,30.638",2018/10/15,111.3621,30.638
6.00012E+11,4.20503E+19,伍家-沿江大道王家河路口东向西,4.20503E+11,宜昌支队伍家大队,"111.33954,30.65161",2018/12/1,111.33954,30.65161
6.00012E+11,4.20503E+19,伍家-沿江大道王家河路口北向南,4.20503E+11,宜昌支队伍家大队,"111.33952,30.65181",2018/12/1,111.33952,30.65181
6.00032E+11,4.20503E+19,伍家-东山大道王家河站东向西卡口,4.20503E+11,宜昌支队伍家大队,"111.31993,30.67539",2019/1/1,111.31993,30.67539
7.00042E+11,4.20503E+19,伍家-八一路沈家店路口东向西,4.20503E+11,宜昌支队伍家大队,"111.366161,30.639981",2018/12/1,111.366161,30.639981
7.00042E+11,4.20503E+19,伍家-八一路沈家店路口西向东,4.20503E+11,宜昌支队伍家大队,"111.366161,30.639981",2018/12/1,111.366161,30.639981
7.00042E+11,4.20503E+19,伍家-八一路沈家店路口南向北,4.20503E+11,宜昌支队伍家大队,"111.36606,30.639841",2018/12/1,111.36606,30.639841
7.05112E+11,4.20505E+19,猇亭-长寿路迎宾大道路口西向东卡口,4.20505E+11,宜昌支队猇亭大队,"30.324737,111.281144",2019/12/4,30.324737,111.281144
6.00032E+11,4.20503E+19,伍家-东山大道北山坡站西向东卡口,4.20503E+11,宜昌支队伍家大队,"111.30224,30.69164",2019/1/1,111.30224,30.69164
6.00402E+11,4.20502E+19,平湖-夜明珠路黄河路口东向西,4.20502E+11,宜昌支队平湖大队,"111.30547,30.73028",2018/1/1,111.30547,30.73028
6.00612E+11,4.20502E+19,西坝-和平路至喜大桥下环线路口,4.20502E+11,宜昌支队葛洲坝大队,"111.27473,30.7136",2019/12/19,111.27473,30.7136
7.05112E+11,4.20505E+19,猇亭-长寿路七里冲路口南向北卡口,4.20505E+11,宜昌支队猇亭大队,"30.334316,111.272869",2019/12/4,30.334316,111.272869
